"Story","Title","Result","Date","Stability","Duration (s)"
"Create booking CRUD test","This will Auth user","SUCCESS","2022-06-07T00:03:45.367+01:00[Europe/London]","0.0","5.36"
"Create booking CRUD test","This will Create a booking user","SUCCESS","2022-06-07T00:03:50.741+01:00[Europe/London]","0.0","1.34"
"Create booking CRUD test","This will Update a booking","SUCCESS","2022-06-07T00:03:52.082+01:00[Europe/London]","0.0","1.64"
"Create booking CRUD test","This will Deleted a user","SUCCESS","2022-06-07T00:03:53.721+01:00[Europe/London]","0.0","2.09"
